,precision,recall,f1-score,support
0,0.9552772808586762,0.9352014010507881,0.9451327433628318,571.0
1,0.9672686230248307,0.9543429844097996,0.9607623318385651,898.0
2,0.9621951219512195,0.9359430604982206,0.9488875526157546,843.0
3,0.9218106995884774,0.8421052631578947,0.8801571709233792,266.0
4,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
5,0.927570093457944,0.9002267573696145,0.9136939010356733,441.0
6,0.6666666666666666,0.36363636363636365,0.4705882352941177,11.0
7,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.9111111111111111,0.8978102189781022,0.9044117647058824,137.0
11,0.75,0.3333333333333333,0.46153846153846156,9.0
micro avg,0.9508090614886732,0.9178381755701344,0.9340327451915436,3201.0
macro avg,0.7134916330549105,0.5968832818695097,0.6320976801095554,3201.0
weighted avg,0.9470061391791703,0.9178381755701344,0.9312224691144727,3201.0
samples avg,0.9489102564102565,0.9393269230769231,0.9364322344322342,3201.0
